article_id,article_text,source,topic
70,"Cloud computing is the delivery of on-demand computing services -- from applications to storage and processing power -- typically over the internet and on a pay-as-you-go basis.  Rather than owning their own computing infrastructure or data centers, companies can rent access to anything from applications to storage from a cloud service provider. ",https://www. zdnet. com/article/what-is-cloud-computing-everything-you-need-to-know-from-public-and-private-cloud-to-software-as-a/,Cloud Computing
71,"What is cloud computing? How does it work? The term cloud when talking about technology or computing, is not new.  In simple terms,cloud is a metaphor for the Internet.  In fact, cloud symbols are repeatedly used to depict the Internet on diagrams.  If you think of the Internet as a virtual spacethat connects users from all over the globe, it is like a cloud, sharing information by the way of networks. ",https://www. fastmetrics. com/blog/tech/what-is-cloud-computing/,Cloud Computing
72,"In the simplest terms, Cloud Computing is when you use a computer/server which is provided to you by someone else.  This server has to be accessed over the internet by using a web-based tool for personal or business use. ",https://intellipaat. com/blog/what-is-cloud-computing/,Cloud Computing
73,"Cloud Computing is the use of hardware and software to deliver a service over a network (typically the Internet).  With cloud computing, users can access files and use applications from any device that can access the Internet. ",https://www. lenovo. com/in/en/faqs/laptop-faqs/what-is-cloud-computing/,Cloud Computing
74,"In the simplest terms, cloud computing means storing and accessing data and programs over the Internet instead of your computer's hard drive.  The cloud is just a metaphor for the Internet.  It goes back to the days of flowcharts and presentations that would represent the gigantic server-farm infrastructure of the Internet as nothing but avpuffy, white cumulus cloud, accepting connections and doling out information as it floats. ",https://www. pcmag. com/article/256563/what-is-cloud-computing,Cloud Computing
75,"Cloud Computing can be defined as delivering computing power( CPU, RAM, Network Speeds, Storage OS software) a service over a network (usually on the internet) rather than physically having the computing resources at the customer location. ",https://www. guru99. com/cloud-computing-for-beginners. html,Cloud Computing
76,"Cloud computing has two meanings.  The most common refers to running workloads remotely over the internet in a commercial providerís data center, also known as the public cloud model.  Popular public cloud offeringsósuch as Amazon Web Services (AWS), Salesforceís CRM system, and Microsoft Azureóall exemplify this familiar notion of cloud computing.  Today, most businesses take a multicloudvapproach, which simply means they use more than one public cloud service. ",https://www. infoworld. com/article/2683784/what-is-cloud-computing. html,Cloud Computing
77,"Cloud computing, in turn, refers to sharing resources, software, and information via a network, in this case the Internet.  The information is stored on physical servers maintained and controlled by a cloud computing provider, such as Apple in regards to iCloud.  As a user, you access your stored information on the cloud via the Internet. ",https://www. moneycrashers. com/cloud-computing-basics/,Cloud Computing
78,"Cyber security refers to the body of technologies, processes, and practices designed to protect networks, devices, programs, and data from attack, damage, or unauthorized access.  Cyber security may also be referred to as information technology security. ",https://digitalguardian. com/blog/what-cyber-security,Cybersecurity
79,"Cybersecurity refers to a set of techniques used to protect the integrity of networks, programs and data from attack, damage or unauthorized access.  According to Forbes, the global cybersecurity market is expected to reach 170 billion by 2020.  This rapid market growth is being fueled by an array of technology trends, including the onslaught of initiatives with ever-evolving security requirements, like “bring your own device” (BYOD) and the internet of things (IoT)",https://www. paloaltonetworks. com/cyberpedia/what-is-cyber-security,Cybersecurity
80,"Cyber security consists of technologies, processes and controls designed to protect systems, networks and data from cyber attacks.  Effective cyber security reduces the risk of cyber attacks and protects against the unauthorised exploitation of systems, networks and technologies. Robust cyber security involves implementing controls based on three pillars: people, processes and technology.  This three-pronged approach helps organisations defend themselves from both organised attacks and common internal threats, such as accidental breaches and human error. ",https://www. itgovernance. co. uk/what-is-cybersecurity,Cybersecurity
81,"Cybersecurity is the protection of internet-connected systems, including hardware, software and data, from cyberattacks. In a computing context, security comprises cybersecurity and physical security -- both are used by enterprises to protect against unauthorized access to data centers and other computerized systems.  Information security, which is designed to maintain the confidentiality, integrity and availability of data, is a subset of cybersecurity. ",https://searchsecurity. techtarget. com/definition/cybersecurity,Cybersecurity
82,"Cyber-security is the practice of defending computers, servers, mobile devices, electronic systems, networks, and data from malicious attacks.  It's also known as information technology security or electronic information security.  The term applies in a variety of contexts, from business to mobile computing, and can be divided into a few common categories. ",https://usa. kaspersky. com/resource-center/definitions/what-is-cyber-security,Cybersecurity
83,"Cyber Security , Also referred to as information security, cybersecurity refers to the practice of ensuring the integrity, confidentiality, and availability (ICA) of information.  Cybersecurity is comprised of an evolving set of tools, risk management approaches, technologies, training, and best practices designed to protect networks, devices, programs, and data from attacks or unauthorized access. ",https://www. forcepoint. com/cyber-edu/cybersecurity,Cybersecurity
84,"The term Cybersecurity refers to the technologies and processes designed to defend computer systems, software, networks and user data from unauthorized access; also from threats distributed through the Internet by cybercriminals, terrorist groups, and hackers.  Cybersecurity is all about protecting your devices and network from unauthorized access or modification.  The Internet is not only the chief source of information, but it is also a medium through which people do business. ",https://one. comodo. com/blog/cyber-security/what-is-cyber-security. php,Cybersecurity
85,"Cybersecurity refers to preventative methods used to protect information from being stolen, compromised or attacked.  It requires an understanding of potential information threats, such as viruses and other malicious code.  Cybersecurity strategies include identity management, risk management and incident management. ",https://www. techopedia. com/definition/24747/cybersecurity,Cybersecurity
86,"Cybersecurity involves preventing, detecting, and responding to cyberattacks that can have wide ranging effects on the individual, organizations, the community, and at the national level.  Cyberattacks are malicious attempts to access or damage a computer system.  Cyberattacks can lead to loss of money, theft of personal information, and damage to your reputation and safety.  Cyberattacks are malicious attempts to access or damage a computer system. ",https://www. ready. gov/cybersecurity,Cybersecurity
87,"Computer security, cybersecurity or information technology security (IT security) is the protection of computer systems from theft or damage to their hardware, software or electronic data, as well as from disruption or misdirection of the services they provide. The field is growing in importance due to increasing reliance on computer systems, the Internet and wireless networks such as Bluetooth and Wi-Fi, and due to the growth of  smart  devices, including smartphones, televisions and the various tiny devices that constitute the Internet of things.  Due to its complexity, both in terms of politics and technology, it is also one of the major challenges of the contemporary world. ",https://en. wikipedia. org/wiki/Computer_security,Cybersecurity
88,"Cryptography or cryptology is the practice and study of techniques for secure communication in the presence of third parties called adversaries.  More generally, cryptography is about constructing and analyzing protocols that prevent third parties or the public from reading private messages;various aspects in information security such as data confidentiality, data integrity, authentication, and non-repudiation are central to modern cryptography.  Modern cryptography exists at the intersection of the disciplines of mathematics, computer science, electrical engineering, communication science, and physics.  Applications of cryptography include electronic commerce, chip-based payment cards, digital currencies, computer passwords, and military communications. ",https://en. wikipedia. org/wiki/Cryptography,Cryptography
89,"Cryptography is associated with the process of converting ordinary plain text into unintelligible text and vice-versa.  It is a method of storing and transmitting data in a particular form so that only those for whom it is intended can read and process it.  Cryptography not only protects data from theft or alteration, but can also be used for user authentication. ",https://economictimes. indiatimes. com/definition/cryptography,Cryptography
90,"Cryptography is an important aspect when we deal with network security.  ‘Crypto’ means secret or hidden.  Cryptography is the science of secret writing with the intention of keeping the data secret.  Cryptanalysis, on the other hand, is the science or sometimes the art of breaking cryptosystems.  These both terms are a subset of what is called as Cryptology. ",https://www. geeksforgeeks. org/cryptography-introduction-to-crypto-terminologies/,Cryptography
91,"Cryptography is a method of protecting information and communications through the use of codes so that only those for whom the information is intended can read and process it.  The pre-fix  crypt  means  hidden  or  vault  and the suffix  graphy  stands for  writing. ” In computer science, cryptography refers to secure information and communication techniques derived from mathematical concepts and a set of rule-based calculations called algorithms to transform messages in ways that are hard to decipher.  These deterministic algorithms are used for cryptographic key generation and digital signing and verification to protect data privacy, web browsing on the internet and confidential communications such as credit card transactions and email. ",https://searchsecurity. techtarget. com/definition/cryptography,Cryptography
92,"Cryptography — the science of secret writing — is an ancient art; the first documented use of cryptography in writing dates back to circa 1900 B. C.  when an Egyptian scribe used non-standard hieroglyphs in an inscription.  Some experts argue that cryptography appeared spontaneously sometime after writing was invented, with applications ranging from diplomatic missives to war-time battle plans.  It is no surprise, then, that new forms of cryptography came soon after the widespread development of computer communications.  In data and telecommunications, cryptography is necessary when communicating over any untrusted medium, which includes just about any network, particularly the Internet. ",https://www. garykessler. net/library/crypto. html#intro,Cryptography
93,"Cryptography involves creating written or generated codes that allow information to be kept secret.  Cryptography converts data into a format that is unreadable for an unauthorized user, allowing it to be transmitted without unauthorized entities decoding it back into a readable format, thus compromising the data. Information security uses cryptography on several levels.  The information cannot be read without a key to decrypt it.  The information maintains its integrity during transit and while being stored.  Cryptography also aids in nonrepudiation.  This means that the sender and the delivery of a message can be verified. ",https://www. techopedia. com/definition/1770/cryptography,Cryptography
94,"Modern cryptography is the cornerstone of computer and communications security.  Its foundation is based on various concepts of mathematics such as number theory, computational-complexity theory, and probability theory. ",https://www. tutorialspoint. com/cryptography/modern_cryptography. htm,Cryptography
95,"The conversion of data into a secret code for transmission over a public network.  Today, most cryptography is digital, and the original text ( plaintext ) is turned into a coded equivalent called  ciphertext  via an encryption algorithm.  The ciphertext is decrypted at the receiving end and turned back into plaintext. ",https://www. pcmag. com/encyclopedia/term/40522/cryptography,Cryptography
96,"Public-key cryptography, or asymmetric cryptography, is an encryption scheme that uses two mathematically related, but not identical, keys - a public key and a private key.  Unlike symmetric key algorithms that rely on one key to both encrypt and decrypt, each key performs a unique function.  The public key is used to encrypt and the private key is used to decrypt. ",https://www. globalsign. com/en-in/ssl-information-center/what-is-public-key-cryptography/,Cryptography
97,"Cyber security has never been simple.  And because attacks evolve every day as attackers become more inventive, it is critical to properly define cyber security and identify what constitutes good cyber security.  Cyber security protects the data and integrity of computing assets belonging to or connecting to an organization’s network.  Its purpose is to defend those assets against all threat actors throughout the entire life cycle of a cyber attack.  Kill chains, zero-day attacks, ransomware, alert fatigue and budgetary constraints are just a few of the challenges that cyber security professionals face.  Cyber security experts need a stronger understanding of these topics and many others, to be able to confront those challenges more effectively. ",https://www. fireeye. com/current-threats/what-is-cyber-security. html,Cybersecurity
98,"Cyber security or information technology security are the techniques of protecting computers, networks, programs and data from unauthorized access or attacks that are aimed for exploitation. ",https://economictimes. indiatimes. com/definition/cyber-security,Cybersecurity
99,"Cryptography provides for secure communication in the presence of malicious third-parties—known as adversaries.  Encryption (a major component of cryptography) uses an algorithm and a key to transform an input (i. e. , plaintext) into an encrypted output (i. e. , ciphertext).  A given algorithm will always transform the same plaintext into the same ciphertext if the same key is used.  Algorithms are considered secure if an attacker cannot determine any properties of the plaintext or key, given the ciphertext.  An attacker should not be able to determine anything about a key given a large number of plaintext/ciphertext combinations which used the key. ",https://www. synopsys. com/software-integrity/resources/knowledge-database/cryptography. html,Cryptography
100,Cryptography is the study and application of techniques that hide the real meaning of information by transforming it into nonhuman readable formats and vice versa. ,https://www. guru99. com/how-to-make-your-data-safe-using-cryptography. html,Cryptography
101,"Cryptography or cryptology is the science of designing algorithms and protocols for enabling parties to communicate and compute securely in an untrusted environment (e. g.  secure communication, digital signature and etc. ) Over the last four decades, cryptography has transformed from an ad hoc collection of mysterious tricks into a rigorous science based on firm complexifty-theoretic foundations.   This modern complexity-theoretic approach to cryptography will be the focus of this course.  ",https://people. eecs. berkeley. edu/~sanjamg/classes/cs194-spring19/,Cryptography
102,"Cryptography is the art of protecting and breaking secrets.  Bitcoin employs a special type of cryptography, called public-key cryptography, in order to facilitate its system of storing and transferring of value.  It is through this mechanism that Alice can keep her bitcoins secure or send some of them to Bob, or that coinbase rewards are issued to the miners.  The term “cryptocurrency” derives its name from this usage.  In this third part of the Bitcoin Fundamentals series, we will explore the pivotal role public-key cryptography plays in the creation of digital hard money, as well as its ramifications on society at large. ",https://medium. com/@hugonguyen/how-cryptography-redefines-private-property-34cd93d86036,Cryptography
103,"Cryptography is the practice of protecting information through the use of coded algorithms, hashes, and signatures.  The information can be at rest such as a file on a hard drive.  The information can also be in transit such as electronic communication exchanged between two or more parties. ",https://docs. aws. amazon. com/crypto/latest/userguide/awscryp-whatis-toplevel. html,Cryptography
104,"Cryptography is the field concerned with linguistic and mathematical techniques for securing information, particularly in communications. ",https://www. sciencedaily. com/terms/cryptography. htm,Cryptography
105,"Data mining is the process of discovering patterns in large data sets involving methods at the intersection of machine learning, statistics, and database systems. Data mining is an interdisciplinary subfield of computer science and statistics with an overall goal to extract information (with intelligent methods) from a data set and transform the information into a comprehensible structure for further use. Data mining is the analysis step of the  knowledge discovery in databases  process, or KDD.  Aside from the raw analysis step, it also involves database and data management aspects, data pre-processing, model and inference considerations, interestingness metrics, complexity considerations, post-processing of discovered structures, visualization, and online updating. The difference between data analysis and data mining is that data analysis is used to test models and hypotheses on the dataset, e. g. , analyzing the effectiveness of a marketing campaign, regardless of the amount of data; in contrast, data mining uses machine-learning and statistical models to uncover clandestine or hidden patterns in a large volume of data. ",https://en. wikipedia. org/wiki/Data_mining,Data mining
106,Data mining is the process of sorting through large data sets to identify patterns and establish relationships to solve problems through data analysis.  Data mining tools allow enterprises to predict future trends. ,https://searchsqlserver. techtarget. com/definition/data-mining,Data mining
107,"In simple words, data mining is defined as a process used to extract usable data from a larger set of any raw data.  It implies analysing data patterns in large batches of data using one or more software.  Data mining has applications in multiple fields, like science and research.  As an application of data mining, businesses can learn more about their customers and develop more effective strategies related to various business functions and in turn leverage resources in a more optimal and insightful manner.  This helps businesses be closer to their objective and make better decisions.  Data mining involves effective data collection and warehousing as well as computer processing.  For segmenting the data and evaluating the probability of future events, data mining uses sophisticated mathematical algorithms.  Data mining is also known as Knowledge Discovery in Data (KDD).  ",https://economictimes. indiatimes. com/definition/data-mining,Data mining
108,Data mining is the practice of automatically searching large stores of data to discover patterns and trends that go beyond simple analysis.  Data mining uses sophisticated mathematical algorithms to segment the data and evaluate the probability of future events.  Data mining is also known as Knowledge Discovery in Data (KDD). ,https://docs. oracle. com/cd/B28359_01/datamine. 111/b28129/process. htm#DMCON002,Data mining
109,"The process of digging through data to discover hidden connections and predict future trends has a long history.  Sometimes referred to as  knowledge discovery in databases,  the term  data mining  wasn’t coined until the 1990s.  But its foundation comprises three intertwined scientific disciplines: statistics (the numeric study of data relationships), artificial intelligence (human-like intelligence displayed by software and/or machines) and machine learning (algorithms that can learn from data to make predictions).  What was old is new again, as data mining technology keeps evolving to keep pace with the limitless potential of big data and affordable computing power. ",https://www. sas. com/en_us/insights/analytics/data-mining. html,Data mining
110,"Data mining is a process used by companies to turn raw data into useful information.  By using software to look for patterns in large batches of data, businesses can learn more about their customers to develop more effective marketing strategies, increase sales and decrease costs.  Data mining depends on effective data collection, warehousing and computer processing. ",https://www. investopedia. com/terms/d/datamining. asp,Data mining
111,"Data Mining is defined as extracting information from huge sets of data.  In other words, we can say that data mining is the procedure of mining knowledge from data. ",https://www. tutorialspoint. com/data_mining/dm_overview. htm,Data mining
112,"Data mining is looking for hidden, valid, and potentially useful patterns in huge data sets.  Data Mining is all about discovering unsuspected/ previously unknown relationships amongst the data.  It is a multi-disciplinary skill that uses machine learning, statistics, AI and database technology. The insights derived via Data Mining can be used for marketing, fraud detection, and scientific discovery, etc. ",https://www. guru99. com/data-mining-tutorial. html,Data mining
113,"Data mining is study of algorithms for finding patterns in large data sets.  It is an integral part of modern industry, where data from its operations and customers are mined for gaining business insight.  It is also important in modern scientific endeavors.  Data mining is an interdisciplinary topic involving, databases, machine learning and algorithms.  The course will cover the fundamentals of data mining.  It will explain the basic algorithms like data preprocessing, association rules, classification, clustering, sequence mining and visualization.  It will also explain implementations in open source software.  Finally, case studies on industrial problems will be demonstrated. ",https://onlinecourses. nptel. ac. in/noc19_cs15/preview,Data mining
114,Data mining is a powerful new technology with great potential to help companies focus on the most important information in the data they have collected about the behavior of their customers and potential customers.  It discovers information within the data that queries and reports can't effectively reveal. ,https://www. laits. utexas. edu/~anorman/BUS. FOR/course. mat/Alex/,Data mining
115,"Data mining requires a class of database applications that look for hidden patterns in a group of data that can be used to predict future behavior.  For example, data mining software can help retail companies find customers with common interests.  The phrase data mining is commonly misused to describe software that presents data in new ways.  True data mining software doesn't just change the presentation, but actually discovers previously unknown relationships among the data. Data mining is popular in the science and mathematical fields but also is utilized increasingly by marketers trying to distill useful consumer data from Web sites",https://www. webopedia. com/TERM/D/data_mining. html,Data mining
116,"Data mining, also called knowledge discovery in databases, in computer science, the process of discovering interesting and useful patterns and relationships in large volumes of data.  The field combines tools from statistics and artificial intelligence (such as neural networks and machine learning) with database management to analyze large digital collections, known as data sets.  Data mining is widely used in business (insurance, banking, retail), science research (astronomy, medicine), and government security (detection of criminals and terrorists). ",https://www. britannica. com/technology/data-mining,Data mining
117,"Data mining also can be defined as the computer-aid process that digs and analyzes enormous sets of data and then extracting the knowledge or information out of it.  By its simplest definition, data mining automates the detections of relevant patterns in the database. ",http://www. zentut. com/data-mining/what-is-data-mining/,Data mining
118,"Data mining is the process of discovering actionable information from large sets of data.  Data mining uses mathematical analysis to derive patterns and trends that exist in data.  Typically, these patterns cannot be discovered by traditional data exploration because the relationships are too complex or because there is too much data. ",https://docs. microsoft. com/en-us/sql/analysis-services/data-mining/data-mining-concepts?view=sql-server-2017,Data mining
119,"Data mining is the automated process of sorting through huge data sets to identify trends and patterns and establish relationships.  Data mining is used in many areas of business and research, including product development, sales and marketing, genetics, and cybernetics—to name a few.  If it’s used in the right ways, data mining combined with predictive analytics can give you a big advantage over competitors that are not using these tools. ",https://www. infoworld. com/article/3218151/what-is-data-mining-how-analytics-uncovers-insights. html,Data mining
120,"Data mining is an automated analytical method that lets companies extract usable information from massive sets of raw data. Data mining combines several branches of computer science and analytics, relying on intelligent methods to uncover patterns and insights in large sets of information. One of the defining characteristics of this method of analysis is its automation, which involves machine learning and database tools to expedite the analytical process and find information that is more relevant to users. ",https://www. sisense. com/glossary/data-mining-basics/,Data mining
121,"Data mining is the means by which organizations extract value from their data, and it has become increasingly central to maintaining a competitive edge in business. ",https://www. datamation. com/big-data/what-is-data-mining. html,Data mining
122,"Robotics is an interdisciplinary branch of engineering and science that includes mechanical engineering, electronic engineering, information engineering, computer science, and others.  Robotics deals with the design, construction, operation, and use of robots, as well as computer systems for their control, sensory feedback, and information processing.",https://en. wikipedia. org/wiki/Robotics,Robotics
123,"Robotics,Min cheetah is a small four leg robot who can run and do back flips. ",https://robots. ieee. org/robots/minicheetah/,Robotics
124,"Real-life robots that will make you think the future is now,We know that day is a long way off, but technology is getting better all the time.  In fact, some high-tech companies have already developed some pretty impressive robots that make us feel like the future is here already.  These robots aren't super-intelligent androids or anything - but hey, baby steps.  ",https://www. roboticsbusinessreview. com/cro/how-robots-can-help-your-small-business/,Robotics
125,"Advances in Robotics and Automation,Robotics and Automation deals with manufacture and applications of robots and computer systems for their control, sensory feedback, and information technology to reduce the need for human work.  ",https://www. omicsonline. org/advances-in-robotics-automation. php,Robotics
126,"Advancements in robotics deals with the assembly of applications for robots and computer systems for their control, sensory feedback, and information technology to shorten the need of human work.  The journal provides an open access platform to publish the latest contributions in the field of advancements in robotics. ",http://stmjournals. com/Journal-of-Advancements-in-Robotics. html,Robotics
127,"The advancement in robotics and technology has turned dreams into reality, and what was once thought of as pure science fiction, is slowly becoming accessible. Drones, intelligent cars, assembly line robots, are all part of our daily lives. ",http://www. independent. com. mt/articles/2015-07-04/local-news/Advancement-in-robotics-and-technology-From-science-fiction-to-reality-6736138356,Robotics
128,"Automation and Robotics Engineering is the use of control systems and information technologies to reduce the need for human work in the production of goods and services.  ROBOTICS AND AUTOMATION ,In the scope of industrialization, automation is a step beyond mechanization. ",https://www. myklassroom. com/Engineering-branches/85/ROBOTICS-AND-AUTOMATION(SS),Robotics
129,"Seven new advancements in robotics to watch in 2019. The science of robotics and automation has come a long way since Asimov's laws, not least in coming to encompass a far wider range of devices than Asimov ever imagined.  Now robots take forms ranging from industrial arms, military drones or Boston Dynamicsí  Big Dog,  through to DNA and protein robots designed to aid in surgery and medical applications. ",https://www. automationmag. com/technology/robotics/8966-seven-new-advancements-in-robotics-to-watch-in-2019,Robotics
130,"Humanoid Robot Atlas Can Now Do Parkour and That's Not at All Terrifying. As Atlas navigates the challenges of the obstacle course, a slow-motion sequence emphasizes the precision in its movements as it leaps between platforms, each one measuring about 16 inches  high.  Software and vision sensors control Atlas's navigation, according to the video description nevertheless, the robot's coordination seem remarkably humanlike for a machine. ",https://www. livescience. com/63817-atlas-robot-parkour. html,Robotics
131,"End of arm tooling: The secret sauce of collaborative applications. In the past five years, robots have been used in a wider range of applications than ever before because end effectors can now function better in more environments.  Apart from handling variations in product size, weight, and shape, EOAT also enables robots to accommodate several processes at once.  With the EOAT trend expanding across manufacturing, these enhanced capabilities mean that robot arms will soon be commodities.  The kind of robot used wonít matter as much as the EOAT for the job. ",https://www. therobotreport. com/eoat-secret-sauce-collaborative-applications/,Robotics
132,"HELUKABEL launches new robotic PROFINET cable. Furthermore, dynamic requirements like acceleration and speed have increased and created more mechanical stress and electromagnetic interference (EMI).  Increased EMI is a byproduct of robot density , more robots in the same production cell  and the higher speeds, because in order to produce the required acceleration, the motors need more power/torque. ",https://www. therobotreport. com/helukat-cable-helukabel-robotic-profinet-cable/,Robotics
133,Dutch manufacturer Fluidics Instruments increases production with cobots. Small and midsize manufacturers often struggle with processes and systems that must be flexible enough to move from one task to another rather than simply crank out large batches of identical items.  Fluidics Instruments BV makes components for oil burners and has used collaborative robot arms from Universal Robots A/S to steadily increase production. ,https://www. therobotreport. com/fluidics-instruments-nozzle-production-ur-cobots/,Robotics
134,"Schunk EGL-C is first long-stroke robot gripper for collaborative uses,Schunk GmbH last week released its EGL-C long-stroke gripper, which it said ìrepresents a milestone in the road to achieving comprehensive human-robot collaboration. The gripper is designed to achieve high gripping forces while complying with global safety standards. ",https://www. therobotreport. com/egl-c-schunk-long-stroke-cobot-gripper/,Robotics
135,"Augmented and virtual reality mean business: Everything you need to know,Overhyped by some, drastically underestimated by others, few emerging technologies have generated the digital ink like virtual reality (VR), augmented reality (AR), and mixed reality (MR). ",https://www. zdnet. com/article/augmented-and-virtual-reality-mean-business-everything-you-need-to-know/,Augmented Reality-Virtual Reality
136,"Augmented Reality And Virtual Reality Are The Emerging Realities,Slowly but steadily, the related technologies of Augmented Reality (AR) and Virtual Reality (VR) are moving from the lab to the commercial space.  They have started capturing the imagination of the general public and the corporate world.  Like any other emerging technology their perceived benefits are checkmated by legal, technological and economic hurdles. ",http://www. businessworld. in/article/Augmented-Reality-And-Virtual-Reality-Are-The-Emerging-Realities/16-09-2018-159963,Augmented Reality-Virtual Reality
137,"The shifting AR VR market,As we reach the end of the year, itís time to look back on our top ten VR and AR articles for 2018.  We've wrapped up an incredible year of writing, travel, podcasts, and speaking engagements.  And we're looking forward to the coming developments in virtual and augmented reality in 2019. ",https://www. digitalbodies. net/virtual-reality/our-top-ten-vr-and-ar-articles-for-2018/,Augmented Reality-Virtual Reality
138,"The origin of augmented reality (AR) and virtual reality (VR) came way back in 1838, when Charles Wheatstone invented the stereoscope.  This technology used an image for each eye to create a 3D image for the viewer. Since then, the technology has evolved at a rapid pace, but has stayed on the fringes of society.  However, in the past few years, as graphics and computing technologies have evolved, AR and VR have experienced a renaissance, according to a recent infographic from HistoryDegree. net and NowSourcing. ",https://www. techrepublic. com/article/infographic-the-history-of-ar-and-vr-and-what-the-future-holds/,Augmented Reality-Virtual Reality
139,"11 Predictions For The Future Of AR And VR In Marketing And Advertising. Augmented and virtual reality are hot topics right now, especially in the advertising and marketing worlds.  However, it isn't always clear to everyone how it can be used to better our lives.  It will definitely affect the trajectory of how we use technology, but exactly how is still uncertain to a lot of people. ",https://www. forbes. com/sites/forbesagencycouncil/2018/09/26/11-predictions-for-the-future-of-ar-and-vr-in-marketing-and-advertising/#64195efe10b1,Augmented Reality-Virtual Reality
140,"10 Predictions For A Global Healthcare Market Set To Cross The $1. 85 Trillion Mark In 2018. Every year at Frost & Sullivan, the Transformational Health team brainstorms top predictions for the New Year to come.  Despite ongoing political uncertainties and rising cost pressures, the global healthcare industry will register a stable growth rate during 2018, and it will cross the $1. 85 trillion mark in terms of manufacture revenues.  Digital health investments crossed $6. 5 billion in 2017, up 109% from the previous year.  ",https://www. forbes. com/sites/reenitadas/2017/12/21/top-10-predictions-for-the-global-healthcare-market-to-cross-the-1-85-trillion-mark-in-2018/#44fb461e7a4e,HealthTech
141,"5 Digital Health Innovation Trends That Will Matter in 2018. In December 2016, many were suggesting that wearables were dead.  Fitbits stock price was rapidly dropping.  Apple Watch sales had declined for two consecutive quarters and Pebble had just been acquired in a fire sale. ",https://hitconsultant. net/2017/12/05/digital-health-innovation-trends-2018/,HealthTech
142,"AI replacing doctors.  What do doctors think about that?Naturally, the discussion gravitated towards artificial intelligence replacing doctors.  I didn't prompt this.  They asked it themselves.  As with other industries, there was a sense of threat from technology.  Will doctors lose their jobs?",https://www. linkedin. com/pulse/ai-replacing-doctors-what-do-think-praveen-suthrum/,HealthTech
143,"Here are the 12 healthcare issues that will define 2018, according to PwC. The continued uncertainty and risk the healthcare industry will face in 2018 will motivate healthcare organizations to boost their efficiency across functions, according to the PwC Health Research Instituteís new report, Top health industry issues of 2018: A year for resilience amid uncertainty. ",https://www. healthcareitnews. com/news/here-are-12-healthcare-issues-will-define-2018-according-pwc,HealthTech
144,"Technology and the Future of Healthcare,Healthcare changes dramatically because of technological developments, from anesthetics and antibiotics to magnetic resonance imaging scanners and radiotherapy.  Future technological innovation is going to keep transforming healthcare, yet while technologies (new drugs and treatments, new devices, new social media support for healthcare, etc) will drive innovation, human factors will remain one of the stable limitations of breakthroughs.  No predictions can satisfy everybody; instead, this article explores fragments of the future to see how to think more clearly about how to get where we want to go",https://www. ncbi. nlm. nih. gov/pmc/articles/PMC4147743/,HealthTech
145,"The Importance of Health Information Technology in Developing Areas,Health Information Technology (Health IT) is a broad term that describes the technology and infrastructure used to record, analyze, and share patient health data.  Various technologies include health record systems, including personal, paper, and electronic. ",https://openmrs. org/2017/07/the-importance-of-health-information-technology-in-developing-areas/,HealthTech
146,"Technology  is Vital Role in Healthcare and Society - National Health IT Week,There is no better time for the health IT community to come together under one umbrella to raise national awareness of the benefits information technology can bring to the US health system.  National Health IT (NHIT) Week is a nationwide awareness week focused on the value of health IT.  Each year, NHIT Week Partners educate industry and policy stakeholders on the value of health IT for the US healthcare system.  Every Tuesday leading up to NHIT Week, our valued partners will share their voice and experience on how they demonstrate the value of health IT.  ",https://www. himss. org/news/technology-s-vital-role-healthcare-and-society-national-health-it-week,HealthTech
147,"Three Ways Technology has Changed HealthcareTechnology is considered to be the driving force behind improvements in healthcare and, when you look at the rate of change and recent innovations, many find it hard not to agree with that observation. Graduates of health informatics will no doubt agree that technology is impacting many aspects of our lives as breakthroughs in data collection, research and treatments allow medical providers to use new tools and find fresh and innovative ways to practice medicine into the future. ",https://healthinformatics. uic. edu/blog/3-ways-technology-has-changed-healthcare/,HealthTech
148,"In today's world, technology plays an important role in every industry as well as in our personal lives.  Out of all of the industries that technology plays a crucial role in, healthcare is definitely one of the most important.  This merger is responsible for improving and saving countless lives all around the world. ",http://www. healthcarebusinesstech. com/medical-technology/,HealthTech
149,The Benefits of Technology in Healthcare: Patient Care & Economic Boom. We certainly can't deny the benefits of technology in healthcare much of the recent progress  we've seen in the medical field is due precisely to technological innovation. But how is this tech revolution shaping our lives. ,https://www. aimseducation. edu/blog/benefits-of-technology-in-healthcare/,HealthTech
150,"Benefits of Healthcare Information Technology. With so many advances in technology, it isn't surprising that healthcare IT has revolutionized the healthcare industry.  Healthcare information technology supports the maintenance and management of health information in electronic formats, enabling doctors and healthcare professionals to have immediate access to their patientsí medical information. ",https://www. cchit. org/benefits-of-healthcare-information-technology/,HealthTech
151,"Six Ways Technology Is Improving Healthcare. Take healthcare, for example.  Breakthroughs in information gathering, research, treatments, and communications have given medical providers new tools to work with and fresh ways to practice medicine. ",https://www. businessinsider. com/6-ways-technology-is-improving-healthcare-2010-12?IR=T,HealthTech
